Working Set Size, , Average
32,,TotalAvg: 8.993610
32,,Total number of partitions: 626
32,,Data of all working set sizes written to file: data512_16384.csv
32,,Ê To find avg please use function =AVG(A2:A627)
32,,
32,,
32,,
32,,
32,,
11,,
9,,
10,,
11,,
12,,
12,,
13,,
14,,
15,,
15,,
15,,
15,,
16,,
15,,
15,,
15,,
16,,
15,,
15,,
15,,
16,,
15,,
16,,
15,,
15,,
16,,
15,,
15,,
15,,
16,,
15,,
15,,
15,,
16,,
15,,
15,,
15,,
16,,
15,,
15,,
15,,
15,,
12,,
16,,
18,,
10,,
10,,
4,,
3,,
4,,
13,,
6,,
3,,
5,,
2,,
4,,
2,,
9,,
4,,
3,,
5,,
5,,
3,,
4,,
3,,
4,,
8,,
8,,
7,,
8,,
18,,
2,,
4,,
3,,
9,,
9,,
6,,
3,,
10,,
9,,
4,,
3,,
2,,
12,,
4,,
3,,
2,,
8,,
8,,
7,,
7,,
3,,
2,,
6,,
4,,
2,,
3,,
6,,
8,,
9,,
10,,
10,,
11,,
12,,
13,,
13,,
14,,
15,,
15,,
14,,
15,,
16,,
15,,
15,,
15,,
16,,
15,,
15,,
15,,
16,,
15,,
15,,
16,,
15,,
15,,
14,,
16,,
15,,
15,,
15,,
16,,
15,,
15,,
15,,
15,,
11,,
16,,
13,,
8,,
4,,
3,,
11,,
8,,
4,,
4,,
2,,
6,,
6,,
4,,
5,,
2,,
3,,
5,,
9,,
8,,
5,,
3,,
3,,
2,,
12,,
2,,
11,,
3,,
3,,
7,,
3,,
7,,
7,,
6,,
5,,
3,,
5,,
4,,
2,,
9,,
16,,
20,,
18,,
19,,
20,,
19,,
19,,
20,,
19,,
19,,
19,,
20,,
19,,
19,,
20,,
18,,
19,,
19,,
25,,
32,,
31,,
28,,
3,,
2,,
8,,
23,,
24,,
23,,
25,,
20,,
12,,
11,,
6,,
5,,
2,,
3,,
3,,
7,,
2,,
4,,
3,,
3,,
11,,
5,,
5,,
5,,
4,,
3,,
4,,
6,,
5,,
3,,
5,,
2,,
4,,
2,,
15,,
19,,
19,,
19,,
19,,
20,,
12,,
13,,
16,,
13,,
9,,
3,,
5,,
3,,
3,,
10,,
4,,
3,,
6,,
5,,
5,,
2,,
4,,
3,,
10,,
9,,
8,,
4,,
3,,
3,,
10,,
13,,
8,,
3,,
6,,
2,,
6,,
3,,
4,,
4,,
3,,
5,,
9,,
3,,
10,,
9,,
2,,
7,,
7,,
6,,
3,,
5,,
3,,
3,,
7,,
11,,
14,,
17,,
16,,
16,,
15,,
5,,
4,,
3,,
3,,
2,,
9,,
7,,
3,,
3,,
2,,
8,,
4,,
3,,
2,,
7,,
2,,
6,,
5,,
3,,
3,,
3,,
11,,
28,,
4,,
4,,
7,,
10,,
12,,
13,,
8,,
3,,
2,,
7,,
6,,
3,,
4,,
3,,
8,,
20,,
10,,
16,,
3,,
6,,
8,,
8,,
3,,
8,,
10,,
5,,
4,,
3,,
3,,
12,,
10,,
5,,
4,,
4,,
2,,
11,,
2,,
10,,
6,,
6,,
6,,
7,,
4,,
3,,
6,,
4,,
3,,
2,,
16,,
19,,
19,,
20,,
19,,
20,,
20,,
19,,
19,,
19,,
20,,
14,,
13,,
17,,
17,,
17,,
17,,
19,,
11,,
4,,
5,,
3,,
5,,
2,,
12,,
17,,
5,,
8,,
2,,
7,,
4,,
4,,
2,,
4,,
3,,
7,,
10,,
3,,
7,,
6,,
3,,
6,,
3,,
2,,
5,,
4,,
2,,
9,,
9,,
10,,
11,,
11,,
5,,
6,,
4,,
4,,
3,,
3,,
9,,
13,,
17,,
14,,
3,,
4,,
8,,
9,,
3,,
2,,
9,,
4,,
3,,
2,,
8,,
6,,
5,,
4,,
3,,
3,,
18,,
4,,
16,,
6,,
3,,
9,,
11,,
7,,
5,,
3,,
5,,
4,,
3,,
2,,
5,,
7,,
4,,
3,,
2,,
5,,
4,,
3,,
3,,
24,,
27,,
26,,
28,,
10,,
5,,
3,,
4,,
2,,
5,,
6,,
5,,
4,,
5,,
4,,
4,,
2,,
23,,
29,,
28,,
15,,
3,,
2,,
5,,
4,,
3,,
2,,
8,,
9,,
10,,
11,,
12,,
14,,
14,,
15,,
16,,
15,,
14,,
3,,
3,,
10,,
5,,
5,,
3,,
3,,
3,,
7,,
5,,
4,,
4,,
3,,
3,,
6,,
8,,
10,,
12,,
13,,
15,,
15,,
16,,
17,,
12,,
10,,
8,,
2,,
4,,
3,,
8,,
7,,
4,,
4,,
3,,
6,,
4,,
3,,
2,,
13,,
21,,
22,,
20,,
15,,
6,,
4,,
5,,
3,,
2,,
7,,
10,,
3,,
4,,
4,,
2,,
8,,
3,,
5,,
4,,
2,,
10,,
24,,
19,,
7,,
2,,
4,,
3,,
6,,
5,,
3,,
3,,
3,,
2,,
17,,
22,,
6,,
6,,
5,,
4,,
4,,
3,,
6,,
11,,
14,,
10,,
5,,
4,,
3,,
2,,
6,,
2,,
5,,
2,,
4,,
7,,
11,,
9,,
4,,
3,,
5,,
4,,
3,,
2,,
10,,
5,,
2,,
3,,
9,,
7,,
6,,
5,,
5,,
3,,
3,,
3,,
1,,